request_date,request,job,event
02/08/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
02/09/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
02/10/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
02/11/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
02/12/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
02/13/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
02/14/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
02/15/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
02/16/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
02/17/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
02/18/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
02/19/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
02/20/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
02/21/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
02/22/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
02/23/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
02/24/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
02/25/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
02/26/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
02/27/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
02/28/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
